Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
638;2;0;95.85864342580577;0.91;61.54;0;39.56;0;138.0040509995401;-1.0476190476190477;46.948867;7.397827;213.45665555936185;3.038539139849868;-10947.8672985782;10.575;24.2;600;0;300;0;0.7042857142857143;0;0;600;0;0;0;107.02716045666293;0;100;0;110;290;200;0;0;0;600;94
637;0;0;92.89394311366743;0.91;61.54;61.539999999999964;61.54;0;138.0040509995401;-1.0476190476190477;46.949087;7.398522;141.95903792054645;2.020776029900155;-10947.8672985782;10.227777777777778;24.2;600;600;400;0;0.7042857142857143;0;0;600;0;0;0;108.9909615659595;0;100;500;100;0;0;0;0;0;600;97
636;0;0;92.89394311366743;0.91;59.34;120.88000000000011;59.34;0;138.0040509995401;-2.0952380952380953;46.949267999999996;7.399218;117.09030135052372;1.666771469917646;-11943.12796208531;10.11111111111111;24.2;600;1200;400;0;0.7042857142857143;0;0;600;0;0;0;110.95476267525606;0;100;600;0;0;0;0;0;0;600;98
636;2;0;93.88217655104688;0.91;50.55;171.4299999999996;50.55;0;138.0040509995401;-2.0952380952380953;46.949405;7.399812;58.02705199671971;0.8260106399591876;-12938.388625592415;10.25;24.3;500;1700;300;0;0.7042857142857143;0;0;500;0;0;0;111.93666322990434;0;100;500;0;0;0;0;0;0;500;97
636;0;0;88.94100936414968;0.91;59.34;230.76999999999953;59.34;0;138.0040509995401;-1.0476190476190477;46.949568;7.400532;84.968183280911;1.2095155799402388;-9952.60663507109;9.958333333333334;24.3;600;2300;400;0;0.7042857142857143;0;0;600;0;0;0;112.91856378455265;0;100;600;0;0;0;0;0;0;600;100
636;0;0;84.98807561463192;0.91;54.94;285.7099999999996;0;0;152.00446197050795;0;46.949945;7.4008;145.0676299917993;2.0650265998979687;0;9.277777777777777;24.2;600;2900;0;0;0.7042857142857143;0;0;490;110;0;0;112.91856378455265;0;100;290;310;0;0;0;0;0;600;107
636;0;0;83.01160873987304;0.91;52.74;338.4499999999996;0;0;150.00440326036968;0;46.950393;7.400808;145.0676299917993;2.0650265998979687;0;8.036111111111111;24.2;590;3490;0;0;0.7042857142857143;0;0;590;0;0;0;112.91856378455265;0;100;200;390;0;0;0;0;0;590;124
637;0;1;73.12927436607863;0.91;32.95;371.4000000000001;0;10.98;157.0046087458536;1.0570613409415122;46.950693;7.400848;68.38902556756253;0.9735125399518996;4928.172386272945;6.25;24.2;500;3990;0;200;0.7042857142857143;0;0;0;500;0;0;111.93666322990434;0;100;500;0;0;0;0;0;0;500;160
637;0;1;11.858801248553291;0.91;24.15;395.54999999999995;0;24.15;155.00455003571534;1.0570613409415122;46.950912;7.400963;32.122118069612696;0.45725588997740735;3942.537909018356;4.052777777777778;24.2;500;4490;0;500;0.7042857142857143;0;0;0;500;0;0;111.93666322990434;0;100;300;0;0;0;0;0;0;300;246
637;0;0;100.79981061270296;0.91;32.95;428.5;0;32.95;156.00457939078447;1.0570613409415122;46.951122;7.400775;90.14917006633242;1.2832665299365948;4928.172386272945;7.5361111111111105;24.2;510;5000;0;400;0.7042857142857143;0;0;0;510;0;0;111.93666322990434;0;100;310;200;0;0;0;0;0;510;132
