Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
587;1;0;93.72785005827367;0.9982014388489208;50.55;0;50.55;0;162.25889891399092;-1.1428571428571428;46.948877;7.397893;138.12875591153008;1.9411455663762165;-9369.085173501577;10.216666666666669;25.9;500;0;400;0;0.5881294964028777;0;0;0;500;0;0;125.38776892709478;0;100;400;100;0;0;0;0;0;500;97
587;0;0;93.72785005827367;0.9982014388489208;50.54;50.539999999999736;50.54;0;160.2679921788499;-1.1428571428571428;46.949073;7.398462;132.03484020955082;1.8555067913890304;-11451.104100946372;10.297222222222222;25.8;500;500;500;0;0.5881294964028777;0;0;0;500;0;0;126.34492746852298;0;100;500;0;0;0;0;0;0;500;97
586;1;0;93.72785005827367;0.9982014388489208;50.55;101.08999999999992;50.55;0;153.29981860585644;-1.1428571428571428;46.94923;7.399062;126.9565771245681;1.7841411455663754;-11451.104100946372;10.297222222222222;25.8;500;1000;500;0;0.5881294964028777;0;0;0;500;0;0;128.2592445513794;0;100;500;0;0;0;0;0;0;500;97
585;0;0;95.70106795423732;0.9982014388489208;52.75;153.83999999999992;52.75;0;154.29527197342694;-1.1428571428571428;46.949373;7.399682;144.22267161350936;2.026784341363402;-9369.085173501577;10.497222222222222;25.8;500;1500;500;0;0.5881294964028777;0;0;0;500;0;0;128.2592445513794;0;100;200;300;0;0;0;0;0;500;95
585;1;0;95.70106795423732;0.9982014388489208;50.54;204.37999999999988;19.78;0;159.27253881127942;-1.1428571428571428;46.949523;7.400295;162.50441871944716;2.28370066632496;-9369.085173501577;10.419444444444444;25.7;500;2000;200;0;0.5881294964028777;0;0;0;500;0;0;129.2164030928076;0;100;0;400;100;0;0;0;0;500;95
584;1;0;87.8081963703827;0.9982014388489208;48.35;252.7299999999998;0;0;155.29072534099743;0;46.949815;7.400708;197.03660769732969;2.768987057919014;0;9.594444444444443;25.7;500;2500;0;0;0.5881294964028777;0;0;0;500;0;0;129.2164030928076;0;100;0;200;300;0;0;0;0;500;104
584;0;0;73.00906215065528;0.9982014388489208;43.95;296.67999999999984;0;0;156.28617870856797;0;46.950163;7.400735;133.05049282654736;1.8697799205535612;0;7.991666666666666;25.7;500;3000;0;0;0.5881294964028777;0;0;0;500;0;0;130.1735616342358;0;100;300;200;0;0;0;0;0;500;125
586;0;1;83.86176057845539;0.9982014388489208;35.15;331.8299999999999;0;6.59;160.2679921788499;0.9032697547683924;46.950445;7.400747;69.06437795576504;0.970572783188108;6256.191289496158;6.719444444444445;25.6;500;3500;0;100;0.5881294964028777;0;0;0;500;0;0;130.1735616342358;0;100;500;0;0;0;0;0;0;500;148
586;0;1;71.03584425469163;0.9982014388489208;28.55;360.3799999999999;0;28.55;158.27708544370893;0.9032697547683924;46.950688;7.400808;79.22090412573048;1.1133040748334182;5213.492741246798;5.2555555555555555;25.6;500;4000;0;400;0.5881294964028777;0;0;0;500;0;0;130.1735616342358;0;100;500;0;0;0;0;0;0;500;190
587;0;1;0;0.9982014388489208;19.75;380.1299999999999;0;19.75;158.27708544370893;0.9032697547683924;46.950835;7.4009;0;0;3128.095644748079;3.091666666666667;25.6;500;4500;0;500;0.5881294964028777;0;0;0;500;0;0;129.2164030928076;0;100;300;0;0;0;0;0;0;300;323
587;0;0;0;0.9982014388489208;0;380.1299999999999;0;0;157.28163207613844;1.8065395095367849;46.950832;7.400903;0;0;3128.095644748079;0;25.5;290;4790;0;200;0.5881294964028777;0;0;0;200;0;0;129.2164030928076;0;100;0;0;0;0;0;0;0;0;1200
587;0;0;108.5269842780011;0.9982014388489208;37.35;417.4799999999998;0;0;143.34528493015148;0;46.95111;7.400577;143.2070189965128;2.0125112121988713;0;8.530555555555555;25.4;520;5310;0;0;0.5881294964028777;0;0;520;0;0;0;129.2164030928076;0;100;110;410;0;0;0;0;0;520;117
587;0;0;97.67428585020096;0.9982014388489208;43.95;461.4299999999996;0;0;150.31345850314494;0;46.95127;7.400023;172.6609448894126;2.4264319579702702;0;9.544444444444444;25.3;500;5810;0;0;0.5881294964028777;0;0;500;0;0;0;129.2164030928076;0;100;0;500;0;0;0;0;0;500;104
588;0;1;97.67428585020096;0.9982014388489208;48.35;509.7799999999995;0;0;157.28163207613844;0;46.951457;7.399487;173.67659750640914;2.4407050871348015;0;9.511111111111113;25.3;500;6310;0;0;0.5881294964028777;0;0;0;500;0;0;129.2164030928076;0;100;0;500;0;0;0;0;0;500;105
588;0;0;99.64750374616465;0.9982014388489208;48.35;558.1299999999994;0;0;160.2679921788499;0;46.951667;7.398968;180.78616582538496;2.540616991286518;0;9.802777777777775;25.3;500;6810;0;0;0.5881294964028777;0;0;0;500;0;0;129.2164030928076;0;100;0;500;0;0;0;0;0;500;102
588;0;0;99.64750374616465;0.9982014388489208;46.15;604.2799999999995;0;0;162.25889891399092;0;46.951903;7.398472;182.81747105937805;2.5691632496155803;0;9.761111111111113;25.2;500;7310;0;0;0.5881294964028777;0;0;0;500;0;0;129.2164030928076;0;100;0;500;0;0;0;0;0;500;102
588;0;0;92.74124111029184;0.9982014388489208;59.34;663.6199999999997;0;0;161.26344554642043;0;46.952202;7.397867;192.9739972293435;2.7118945412608904;0;10.158333333333331;25.2;590;7900;0;0;0.5881294964028777;0;0;0;590;0;0;130.1735616342358;0;100;0;300;290;0;0;0;0;590;98
588;0;0;91.75463216231002;0.9982014388489208;50.55;714.1699999999998;0;0;163.2543522815614;0;46.952463;7.397362;208.2087864842917;2.925991478728855;0;10.077777777777778;25.2;500;8400;0;0;0.5881294964028777;0;0;0;500;0;0;131.130720175664;0;100;0;0;500;0;0;0;0;500;99
588;0;0;91.75463216231002;0.9982014388489208;48.35;762.5199999999998;0;0;165.2452590167024;0;46.952715;7.396865;193.9896498463401;2.7261676704254216;0;10.033333333333331;25.1;500;8900;0;0;0.5881294964028777;0;0;0;500;0;0;133.0450372585204;0;100;0;400;100;0;0;0;0;500;99
588;0;0;91.75463216231002;0.9982014388489208;50.55;813.0699999999999;0;0;164.2498056491319;0;46.95297;7.396365;202.1148707823124;2.8403527037416696;0;10.03888888888889;25;500;9400;0;0;0.5881294964028777;0;0;0;500;0;0;134.95935434137684;0;100;0;0;500;0;0;0;0;500;99
588;0;0;93.72785005827367;0.9982014388489208;50.55;863.6200000000001;0;0;163.2543522815614;0;46.953225;7.395858;202.1148707823124;2.8403527037416696;0;10.219444444444443;25;500;9900;0;0;0.5881294964028777;0;0;0;500;0;0;137.83082996566145;0;100;0;0;500;0;0;0;0;500;97
587;1;0;123;0.9982014388489208;61.54;925.1600000000001;0;0;165.2452590167024;0;46.953472;7.395318;219.38096527125367;3.0829958995386963;0;10.636111111111113;24.9;510;10410;0;0;0.5881294964028777;0;0;0;510;0;0;139.74514704851785;0;100;0;0;510;0;0;0;0;510;94
587;0;0;96.68767690221917;0.9982014388489208;63.74;988.8999999999999;0;0;164.2498056491319;0;46.953737;7.394627;240.7096702281811;3.3827316119938473;0;10.594444444444443;24.9;590;11000;0;0;0.5881294964028777;0;0;0;590;0;0;142.61662267280246;0;100;0;0;0;590;0;0;0;590;94
586;1;0;95.70106795423732;0.9982014388489208;50.54;1039.4399999999998;0;0;162.25889891399092;0;46.953907;7.39402;229.53749144121912;3.2257271911840064;0;10.48611111111111;24.9;500;11500;0;0;0.5881294964028777;0;0;0;500;0;0;144.53093975565886;0;100;0;0;400;100;0;0;0;500;95
586;0;0;97.67428585020096;0.9982014388489208;52.75;1092.1899999999998;0;0;158.27708544370893;0;46.954023;7.393387;224.4592283562364;3.1543615453613514;0;10.666666666666666;24.7;500;12000;0;0;0.5881294964028777;0;0;0;500;0;0;147.40241537994348;0;100;0;0;410;90;0;0;0;500;93
584;2;0;99.64750374616465;0.9982014388489208;52.75;1144.9399999999998;21.98;0;157.28163207613844;-1.1428571428571428;46.954083;7.392715;245.78793331316385;3.454097257816503;-11451.104100946372;11.063888888888888;24.7;500;12500;200;0;0.5881294964028777;0;0;0;500;0;0;150.2738910042281;0;100;0;0;0;500;0;0;0;500;90
582;2;0;0;0.9982014388489208;54.95;1199.8899999999996;54.95;0;154.29527197342694;-1.1428571428571428;46.954112;7.39202;0;0;-12492.113564668767;11.275;24.7;500;13000;400;0;0.5881294964028777;0;0;0;500;0;0;151.2310495456563;0;100;0;0;0;0;0;0;0;0;88
580;1;0;0;0.9982014388489208;54.95;1254.8399999999995;54.95;0;156.28617870856797;-2.2857142857142856;46.954208;7.391345;0;0;-15615.14195583596;10.977777777777778;24.6;500;13500;500;0;0.5881294964028777;0;0;100;400;0;0;151.2310495456563;0;100;0;0;0;0;0;0;0;0;91
