Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
572;1;0;53.69438063889744;1.0960451977401129;41.75;0;41.75;0;168.9328149663841;-1.02332361516035;46.948997;7.397963;48.46741169534223;0.6925493559930843;-8136.182542557044;5.2444444444444445;23.8;590;0;500;0;0.736346516007533;0;0;0;400;190;0;194.9728454325407;0;100;290;0;0;0;0;0;0;490;190
571;0;0;31.818892230457745;1.0960451977401129;19.75;19.75;19.75;0;164.93440514469452;-1.02332361516035;46.94906;7.398153;0;0;-3051.068453458892;4.108333333333333;23.8;500;500;500;0;0.736346516007533;0;0;0;500;0;0;193.061346947908;0;100;0;0;0;0;0;0;0;500;243
571;0;0;105.40008051339127;1.0960451977401129;35.15;54.90000000000009;26.36;0;162.93520023384974;-1.02332361516035;46.94918;7.398558;51.56107627164067;0.7367546340351963;-6102.136906917784;8.202777777777778;23.8;500;1000;400;0;0.736346516007533;0;0;0;500;0;0;191.1498484632752;0;100;500;0;0;0;0;0;0;500;121
571;1;0;108.3831016599967;1.0960451977401129;43.95;98.85000000000014;0;0;162.93520023384974;0;46.949305;7.399095;149.52712118775796;2.136588438702069;0;9.552777777777775;23.8;500;1500;0;0;0.736346516007533;0;0;0;500;0;0;190.1940992209589;0;100;200;300;0;0;0;0;0;500;104
570;0;0;97.44535745577684;1.0960451977401129;50.55;149.4000000000001;0;0;165.93400760011693;0;46.949433;7.399693;219.65018491718925;3.138574740989936;0;10.575;23.7;500;2000;0;0;0.736346516007533;0;0;0;500;0;0;188.2826007363261;0;100;0;100;200;200;0;0;0;500;94
570;0;0;96.45101707357504;1.0960451977401129;50.55;199.94999999999982;0;0;167.9332125109617;0;46.949558;7.400315;240.27461542584552;3.4332765946040142;0;10.380555555555556;23.7;500;2500;0;0;0.736346516007533;0;0;0;500;0;0;186.37110225169337;0;100;0;0;100;400;0;0;0;500;96
570;0;0;87.5019536337588;1.0960451977401129;50.55;250.49999999999977;0;0;170.9320198772289;0;46.949833;7.40072;182.526210001608;2.6081114044845943;0;9.455555555555556;23.6;500;3000;0;0;0.736346516007533;0;0;0;500;0;0;185.415353009377;0;100;0;400;100;0;0;0;0;500;105
570;0;0;78.55289019394256;1.0960451977401129;41.75;292.2499999999998;0;0;170.9320198772289;0;46.950232;7.400747;143.33979203516105;2.0481778826178454;0;8.475;23.6;510;3510;0;0;0.736346516007533;0;0;0;310;200;0;184.4596037670606;0;100;310;200;0;0;0;0;0;510;117
571;0;0;81.53591134054797;1.0960451977401129;43.94;336.1900000000003;0;0;169.9324174218065;0;46.950585;7.40074;78.37283593289382;1.119867043733498;0;6.613888888888888;23.6;590;4100;0;0;0.736346516007533;0;0;0;490;100;0;183.5038545247442;0;100;590;0;0;0;0;0;0;590;151
571;0;1;0;1.0960451977401129;26.35;362.53999999999974;0;0;170.9320198772289;0;46.950817;7.400812;0;0;0;4.677777777777778;23.6;500;4600;0;0;0.736346516007533;0;0;0;500;0;0;183.5038545247442;0;100;400;0;0;0;0;0;0;400;213
572;0;0;0;1.0960451977401129;10.96;373.4999999999998;0;6.57;165.93400760011693;0.95850622406639;46.950882;7.400865;0;0;1013.528336380256;1.3138888888888889;23.4;500;5100;0;400;0.736346516007533;0;0;0;500;0;0;181.59235604011147;0;100;0;0;0;0;0;0;0;0;761
572;0;1;76.56420942953895;1.0960451977401129;15.36;388.8599999999999;0;15.36;161.93559777842736;0.95850622406639;46.950985;7.400818;31.967867288417217;0.4567878731018216;2027.056672760512;5.1305555555555555;23.4;500;5600;0;500;0.736346516007533;0;0;0;500;0;0;180.63660679779508;0;100;300;0;0;0;0;0;0;400;194
572;0;0;103.41139974898768;1.0960451977401129;35.15;424.00999999999976;0;35.15;159.93639286758258;0.95850622406639;46.951163;7.400437;187.68231762877204;2.681786867888114;7094.698354661792;7.627777777777778;23.4;500;6100;0;500;0.736346516007533;0;0;0;500;0;0;179.68085755547872;0;100;0;400;100;0;0;0;0;500;131
573;0;1;97.44535745577684;1.0960451977401129;39.55;463.55999999999995;0;6.59;160.93599532300496;0.95850622406639;46.95131;7.399942;161.9017794929517;2.313409550870516;6081.170018281537;8.572222222222221;23.4;500;6600;0;100;0.736346516007533;0;0;0;500;0;0;178.72510831316234;0;100;100;400;0;0;0;0;0;500;116
573;0;0;101.42271898458408;1.0960451977401129;43.95;507.50999999999976;0;0;163.93480268927215;0;46.951478;7.399437;143.33979203516105;2.0481778826178454;0;8.955555555555556;23.3;500;7100;0;0;0.736346516007533;0;0;0;500;0;0;177.76935907084595;0;100;300;200;0;0;0;0;0;500;111
573;0;0;94.46233630917143;1.0960451977401129;54.94;562.4499999999998;0;0;162.93520023384974;0;46.951692;7.398957;149.52712118775796;2.136588438702069;0;9.06388888888889;23.3;510;7610;0;0;0.736346516007533;0;0;0;510;0;0;176.8136098285296;0;100;0;510;0;0;0;0;0;510;110
573;0;0;103.41139974898768;1.0960451977401129;57.14;619.5899999999997;0;0;164.93440514469452;0;46.951957;7.398352;183.5574315270408;2.6228464971652983;0;10.063888888888888;23.2;590;8200;0;0;0.736346516007533;0;0;0;590;0;0;175.8578605862132;0;100;0;490;100;0;0;0;0;590;99
573;0;0;99.43403822018044;1.0960451977401129;52.75;672.3399999999997;0;0;166.9336100555393;0;46.952242;7.397833;232.02484322238303;3.315395853158383;0;10.883333333333333;23.2;500;8700;0;0;0.736346516007533;0;0;0;500;0;0;174.90211134389685;0;100;0;0;300;200;0;0;0;500;91
573;0;0;102.41705936678586;1.0960451977401129;52.75;725.0899999999997;0;0;168.9328149663841;0;46.952525;7.39726;271.21126118882995;3.875329375025132;0;11.108333333333334;23.2;500;9200;0;0;0.736346516007533;0;0;0;500;0;0;174.90211134389685;0;100;0;0;0;400;100;0;0;500;90
