Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
656;1;0;88.44091021237023;0.922514619883041;52.75;0;52.75;0;145.94249704608114;-1;46.949003;7.397783;201.65454368648807;2.6892963898344373;-9013.493253373314;10.86111111111111;21.1;500;0;500;0;0.6388888888888888;0;0;500;0;0;0;92.34794802281014;0;100;0;300;100;100;0;0;0;500;92
655;1;0;85.45975593554876;0.922514619883041;61.54;61.539999999999736;61.54;0;144.9428909019299;-1;46.949222;7.39836;163.19465648854964;2.176389346412406;-10014.992503748126;10.594444444444443;21.1;510;510;400;0;0.6388888888888888;0;0;510;0;0;0;100.20734785453864;0;100;0;510;0;0;0;0;0;510;94
655;0;0;86.45347402782258;0.922514619883041;52.75;114.28999999999974;52.75;0;146.9421031902324;-1;46.949358;7.398973;119.53748723683572;1.5941705403657749;-11016.49175412294;10.613888888888887;21.1;500;1010;400;0;0.6388888888888888;0;0;500;0;0;0;107.08432270730113;0;100;300;200;0;0;0;0;0;500;94
654;1;0;86.45347402782258;0.922514619883041;52.75;167.03999999999974;52.75;0;148.94131547853488;-1;46.949498;7.39959;116.41911800457044;1.5525834827910154;-10014.992503748126;10.675;21;500;1510;400;0;0.6388888888888888;0;0;500;0;0;0;111.01402262316536;0;100;300;200;0;0;0;0;0;500;93
653;1;0;84.46603784327493;0.922514619883041;61.54;228.57999999999993;61.54;0;148.94131547853488;-1;46.949673;7.400317;150.72117955948852;2.010041116113368;-10014.992503748126;10.216666666666669;20.9;590;2100;400;0;0.6388888888888888;0;0;480;110;0;0;113.96129756006356;0;100;190;400;0;0;0;0;0;590;97
653;0;0;9.937180922738229;0.922514619883041;43.95;272.53;32.96;0;143.94328475777866;-1;46.949863;7.400697;59.24901541304031;0.7901540939204275;-10014.992503748126;8.497222222222222;20.9;500;2600;400;0;0.6388888888888888;0;0;500;0;0;0;114.94372253902964;0;100;210;0;0;0;0;0;0;200;117
653;0;0;85.45975593554876;0.922514619883041;39.55;312.0799999999999;0;0;139.9448601811737;0;46.950248;7.400702;68.60412310983615;0.9149152666447056;0;8.197222222222223;20.9;510;3110;0;0;0.6388888888888888;0;0;510;0;0;0;114.94372253902964;0;100;510;0;0;0;0;0;0;510;121
654;0;0;75.52257501281053;0.922514619883041;37.35;349.4299999999994;0;0;139.9448601811737;0;46.950592;7.400687;107.0640103077746;1.4278223100667375;0;7.366666666666666;20.8;500;3610;0;0;0.6388888888888888;0;0;500;0;0;0;113.96129756006356;0;100;500;0;0;0;0;0;0;500;135
655;0;2;0;0.922514619883041;37.34;386.7699999999995;0;30.75;143.94328475777866;1.0434782608695652;46.950902;7.400767;0;0;4757.204895380972;5.138888888888888;20.8;590;4200;0;400;0.6388888888888888;0;0;590;0;0;0;113.96129756006356;0;100;490;0;0;0;0;0;0;490;194
655;0;0;82.47860165872729;0.922514619883041;24.16;410.9299999999994;0;24.16;143.94328475777866;2.0869565217391304;46.951097;7.400812;62.36738464530559;0.8317411514951868;5708.6458744571655;6.2749999999999995;20.8;500;4700;0;500;0.6388888888888888;0;0;500;0;0;0;112.9788725810975;0;100;400;0;0;0;0;0;0;400;159
656;0;1;94.40321876601315;0.922514619883041;37.35;448.2799999999995;0;37.35;142.9436786136274;2.0869565217391304;46.951238;7.400357;229.7198667768756;3.063579908007271;9514.409790761943;8.258333333333333;20.6;500;5200;0;400;0.6388888888888888;0;0;500;0;0;0;112.9788725810975;0;100;0;100;110;290;0;0;0;500;121
656;0;0;91.4220644891917;0.922514619883041;43.95;492.22999999999956;0;43.95;148.94131547853488;1.0434782608695652;46.951365;7.399807;231.79877959838575;3.0913046130571114;7611.527832609554;8.866666666666667;20.6;500;5700;0;500;0.6388888888888888;0;0;500;0;0;0;112.9788725810975;0;100;0;0;300;200;0;0;0;500;112
656;0;0;86.45347402782258;0.922514619883041;46.15;538.3800000000001;0;26.37;150.9405277668373;1.0434782608695652;46.95154;7.399272;220.36475908007975;2.9388187352829935;7611.527832609554;9.408333333333331;20.6;500;6200;0;300;0.6388888888888888;0;0;400;100;0;0;112.9788725810975;0;100;0;0;500;0;0;0;0;500;106
657;0;0;87.4471921200964;0.922514619883041;46.15;584.5299999999997;0;0;151.94013391098858;0;46.951757;7.398772;182.9443282928964;2.439774044385881;0;9.522222222222222;20.6;510;6710;0;0;0.6388888888888888;0;0;100;410;0;0;114.94372253902964;0;100;0;510;0;0;0;0;0;510;105
657;0;0;90.42834639691787;0.922514619883041;57.14;641.6699999999996;0;0;154.9389523434423;0;46.952048;7.398205;185.0232411144066;2.467498749435721;0;9.869444444444444;20.6;590;7300;0;0;0.6388888888888888;0;0;0;590;0;0;116.90857249696175;0;100;0;590;0;0;0;0;0;590;101
657;0;0;88.44091021237023;0.922514619883041;57.14;698.8099999999995;0;0;153.93934619929107;0;46.952302;7.397727;193.33889240044735;2.578397569635079;0;9.658333333333331;20.5;500;7800;0;0;0.6388888888888888;0;0;0;500;0;0;120.83827241282604;0;100;0;500;0;0;0;0;0;500;103
657;0;0;90.42834639691787;0.922514619883041;48.35;747.1599999999994;0;0;154.9389523434423;0;46.952552;7.397245;189.18106675742695;2.5229481595354004;0;9.802777777777775;20.4;500;8300;0;0;0.6388888888888888;0;0;0;500;0;0;124.76797232869028;0;100;0;500;0;0;0;0;0;500;102
657;0;0;92.41578258146552;0.922514619883041;48.35;795.5099999999993;0;0;155.93855848759355;0;46.952805;7.396755;198.5361744542228;2.647709332259678;0;10.02777777777778;20.4;500;8800;0;0;0.6388888888888888;0;0;0;500;0;0;126.73282228662242;0;100;0;300;200;0;0;0;0;500;99
656;1;0;93.40950067373934;0.922514619883041;50.55;846.0599999999995;0;0;146.9421031902324;0;46.953062;7.396253;206.8518257402635;2.758608152459036;0;10.122222222222222;20.4;500;9300;0;0;0.6388888888888888;0;0;500;0;0;0;128.69767224455455;0;100;0;0;500;0;0;0;0;500;98
