Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
582;1;0;92.73454651015112;1.009118541033435;48.35;0;19.78;0;143.34084853453575;-1.099630996309963;46.948845;7.397817;197.1515075586737;2.7681814377772223;-8457.429048414022;10.16388888888889;26.1;500;0;200;0;0.7401215805471124;0;0;500;0;0;0;151.63752775935166;0;100;0;100;400;0;0;0;0;500;98
582;1;0;90.76147105248836;1.009118541033435;48.35;48.34999999999991;48.35;0;141.35000341600053;-1.099630996309963;46.949057;7.398333;108.73820262256744;1.5267804837224883;-7400.250417362269;10.011111111111113;26.1;500;500;500;0;0.7401215805471124;0;0;500;0;0;0;152.69056614656938;0;100;400;100;0;0;0;0;0;400;99
582;0;0;95.69415969664531;1.009118541033435;50.55;98.89999999999986;39.56;0;140.35458085673292;-1.099630996309963;46.949217;7.398948;144.30677357387455;2.0261946606410595;-9514.607679465777;10.44722222222222;26;500;1000;400;0;0.7401215805471124;0;0;500;0;0;0;152.69056614656938;0;100;100;400;0;0;0;0;0;500;95
581;1;0;96.68069742547672;1.009118541033435;52.75;151.64999999999986;63.74;0;143.34084853453575;-1.099630996309963;46.949353;7.399583;147.35550822684374;2.069001590091223;-8457.429048414022;10.575;26;500;1500;500;0;0.7401215805471124;0;0;500;0;0;0;153.74360453378708;0;100;0;500;0;0;0;0;0;500;94
581;1;0;95.69415969664531;1.009118541033435;50.55;202.19999999999982;50.55;0;145.33169365307097;-1.099630996309963;46.94948;7.40023;150.40424287981293;2.1118085195413863;-8457.429048414022;10.419444444444444;26;500;2000;500;0;0.7401215805471124;0;0;500;0;0;0;153.74360453378708;0;100;0;500;0;0;0;0;0;500;95
580;0;0;90.76147105248836;1.009118541033435;50.55;252.75;30.77;0;147.3225387716062;-1.099630996309963;46.94966;7.400778;131.0955900776748;1.8406979663570189;-8457.429048414022;9.938888888888888;26.1;500;2500;300;0;0.7401215805471124;0;0;500;0;0;0;153.74360453378708;0;100;500;0;0;0;0;0;0;500;100
580;0;0;94.70762196781392;1.009118541033435;52.74;305.4899999999998;0;0;149.3133838901414;0;46.95006;7.40084;164.63167126033576;2.3115741903088147;0;8.95;26.1;500;3000;0;0;0.7401215805471124;0;0;500;0;0;0;153.74360453378708;0;100;0;500;0;0;0;0;0;500;111
580;0;0;84.84224467949997;1.009118541033435;39.55;345.03999999999996;0;0;151.30422900867663;0;46.950425;7.400803;108.73820262256744;1.5267804837224883;0;7.658333333333333;26.1;500;3500;0;0;0.7401215805471124;0;0;500;0;0;0;153.74360453378708;0;100;500;0;0;0;0;0;0;500;130
581;0;2;68.07110328936625;1.009118541033435;30.75;375.78999999999996;0;4.39;149.3133838901414;1.1480865224625625;46.95073;7.400828;68.08840724964504;0.9560214243869788;5236.7941712204;6.133333333333333;26;500;4000;0;100;0.7401215805471124;0;0;500;0;0;0;153.74360453378708;0;100;500;0;0;0;0;0;0;500;163
582;0;0;0;1.009118541033435;21.95;397.7399999999998;0;21.95;144.33627109380336;1.1480865224625625;46.950935;7.400912;0;0;4189.43533697632;4.3;26;500;4500;0;500;0.7401215805471124;0;0;500;0;0;0;152.69056614656938;0;100;300;0;0;0;0;0;0;200;232
