Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
687;1;0;81.2288096889325;0.8668674698795181;46.15;0;10.99;0;110.56042241689669;-1.1394910461828462;46.941807;7.4019;170.1049779884863;2.2273802641526226;-11418.569254185692;10.136111111111113;26.3;500;0;100;0;0.5698795180722892;500;0;0;0;0;0;82.59889806239848;0;100;100;300;100;0;0;0;0;500;98
685;2;0;86.18178588947715;0.8668674698795181;50.55;50.549999999999955;50.55;0;111.55646225849034;-2.2789820923656925;46.941707;7.40253;122.51608533694548;1.6042441188242105;-16608.828006088283;10.613888888888887;26.3;500;500;500;0;0.5698795180722892;300;200;0;0;0;0;82.59889806239848;0;100;300;100;100;0;0;0;0;500;94
685;1;0;87.17238112958609;0.8668674698795181;52.75;103.29999999999995;52.75;0;111.55646225849034;-2.2789820923656925;46.94171;7.403188;67.83948526921775;0.8883004624894387;-18684.931506849316;10.752777777777778;26.3;500;1000;500;0;0.5698795180722892;0;500;0;0;0;0;82.59889806239848;0;100;500;0;0;0;0;0;0;500;92
684;0;0;89.15357160980396;0.8668674698795181;65.94;169.23999999999978;65.94;0;114.54458178327133;-2.2789820923656925;46.941795;7.404013;66.8269556383339;0.8750422466313874;-14532.724505327244;11.022222222222222;26.2;600;1600;500;0;0.5698795180722892;0;600;0;0;0;0;82.59889806239848;0;100;400;200;0;0;0;0;0;600;90
684;1;0;88.16297636969503;0.8668674698795181;52.75;221.98999999999978;21.98;0;114.54458178327133;-1.1394910461828462;46.941868;7.404695;190.35557060616324;2.4925445813136493;-10380.517503805177;10.85;26.2;500;2100;200;0;0.5698795180722892;0;500;0;0;0;0;84.56553849245559;0;100;0;300;200;0;0;0;0;500;92
684;0;0;86.18178588947715;0.8668674698795181;52.75;274.7399999999998;0;0;116.53666146645868;0;46.941897;7.405357;245.03217067389096;3.2084882376484205;0;10.588888888888889;26.2;500;2600;0;0;0.5698795180722892;0;500;0;0;0;0;89.48213956759835;0;100;0;0;0;500;0;0;0;500;94
684;0;0;84.2005954092593;0.8668674698795181;52.75;327.4899999999998;0;0;120.52082083283332;0;46.941878;7.406005;223.76904842533017;2.930065704629343;0;10.333333333333334;26.2;500;3100;0;0;0.5698795180722892;0;500;0;0;0;0;95.38206085776967;0;100;0;0;500;0;0;0;0;500;96
684;0;0;78.2570239686057;0.8668674698795181;57.14;384.6299999999999;0;0;123.5089403576143;0;46.941863;7.40663;189.3430409752794;2.479286365455598;0;9.666666666666666;26.2;500;3600;0;0;0.5698795180722892;0;500;0;0;0;0;101.28198214794098;0;100;0;300;200;0;0;0;0;500;103
685;0;1;78.2570239686057;0.8668674698795181;50.54;435.1700000000001;0;0;126.49705988239528;0;46.941857;7.407263;136.69150016931934;1.7898591408369289;0;7.497222222222222;26.2;600;4200;0;0;0.5698795180722892;0;600;0;0;0;0;109.1485438681694;0;100;300;300;0;0;0;0;0;600;133
686;0;2;75.2852382482789;0.8668674698795181;30.75;465.9200000000001;0;30.75;127.49309972398896;2.182079884850666;46.941847;7.407645;84.0399593633593;1.10043191621826;7784.615384615385;6.063888888888888;26;500;4700;0;400;0.5698795180722892;0;500;0;0;0;0;115.04846515834072;0;100;500;0;0;0;0;0;0;500;164
