Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
534;1;0;11.936110895996284;0.7267525035765379;32.95;0;0;0;81.37875918141083;0;46.948997;7.397738;25.528687814179236;0.33628779979144957;0;6.627777777777777;23.4;500;0;0;0;0.6080114449213162;500;0;0;0;0;0;104.67575187969923;0;100;100;100;0;0;0;0;0;200;150
533;0;0;84.54745217997367;0.7267525035765379;32.95;32.950000000000045;0;0;80.3863352889546;0;46.949013;7.398125;58.20540821632866;0.766736183524505;0;6.963888888888889;23.4;500;500;0;0;0.6080114449213162;500;0;0;0;0;0;104.67575187969923;0;100;500;0;0;0;0;0;0;500;143
533;1;0;38.79236041198792;0.7267525035765379;37.35;70.29999999999995;0;0;92.29542199842936;0;46.949173;7.398668;102.11475125671694;1.3451511991657985;0;7.966666666666667;23.4;600;1100;0;0;0.6080114449213162;600;0;0;0;0;0;103.67883995703544;0;100;200;100;0;300;0;0;0;600;125
532;0;0;90.5155076279718;0.7267525035765379;59.33;129.6300000000001;0;0;92.29542199842936;0;46.949313;7.399172;125.60114404576184;1.6545359749739317;0;8.727777777777778;23.3;500;1600;0;0;0.6080114449213162;500;0;0;0;0;0;102.68192803437164;0;100;0;0;0;500;0;0;0;500;114
532;1;0;90.5155076279718;0.7267525035765379;43.95;173.58000000000015;0;0;93.28784589088558;0;46.949417;7.399697;140.91835673426937;1.8563086548488017;0;8.627777777777776;23.2;500;2100;0;0;0.6080114449213162;500;0;0;0;0;0;102.68192803437164;0;100;0;0;0;500;0;0;0;500;115
531;0;0;95.48888716797026;0.7267525035765379;43.95;217.52999999999997;8.79;0;95.27269367579804;-1.0182926829268293;46.949522;7.400228;147.0452418096724;1.9370177267987496;-7260.869565217392;9.202777777777778;23.2;500;2600;100;0;0.6080114449213162;500;0;0;0;0;0;102.68192803437164;0;100;0;0;0;500;0;0;0;500;108
531;0;0;90.5155076279718;0.7267525035765379;43.95;261.48;0;0;104.2045087079041;0;46.949775;7.400628;136.8337666840007;1.8025026068821697;0;8.761111111111111;23.2;500;3100;0;0;0.6080114449213162;500;0;0;0;0;0;102.68192803437164;0;100;0;0;0;500;0;0;0;500;114
531;0;0;84.54745217997367;0.7267525035765379;41.75;303.23;0;0;110.15905206264148;0;46.950152;7.400663;120.495406482926;1.5872784150156418;0;7.975;23.1;500;3600;0;0;0.6080114449213162;300;200;0;0;0;0;102.68192803437164;0;100;0;200;0;300;0;0;0;500;125
532;0;2;83.55277627197398;0.7267525035765379;37.35;340.5799999999999;0;0;116.11359541737886;0;46.950502;7.400682;91.90327613104525;1.2106360792492183;0;7.311111111111111;23.1;500;4100;0;0;0.6080114449213162;0;500;0;0;0;0;103.67883995703544;0;100;500;0;0;0;0;0;0;500;136
533;0;0;44.76041585998606;0.7267525035765379;37.34;377.9200000000001;0;37.34;121.07571487966;1.0401146131805157;46.95083;7.40074;82.71294851794072;1.0895724713242965;5921.696574225122;5.413888888888889;23;600;4700;0;400;0.6080114449213162;0;600;0;0;0;0;103.67883995703544;0;100;600;0;0;0;0;0;0;600;184
534;0;1;84.54745217997367;0.7267525035765379;30.75;408.6700000000001;0;30.75;119.09086709474754;1.0401146131805157;46.951083;7.400768;99.05130871901544;1.3047966631908243;5921.696574225122;6.794444444444444;22.9;500;5200;0;500;0.6080114449213162;0;500;0;0;0;0;104.67575187969923;0;100;300;0;0;200;0;0;0;500;147
