Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
657;2;0;98.33604768300872;0.9142091152815014;50.55;0;21.98;0;111.64813419574952;-1.173165137614679;46.941808;7.401925;213.1118936783988;2.8331888473845925;-10282.883400344628;10.727777777777776;24.8;500;0;200;0;0.546916890080429;400;100;0;0;0;0;76.8614101553125;0;100;0;100;300;100;0;0;0;500;93
655;1;0;88.40311357361391;0.9142091152815014;63.73;63.73000000000002;63.73;0;119.62300092401732;-2.346330275229358;46.941755;7.402593;128.88195474836502;1.713404683894492;-14396.03676048248;10.85;24.8;500;500;500;0;0.546916890080429;200;300;0;0;0;0;76.8614101553125;0;100;300;100;100;0;0;0;0;500;92
655;1;0;92.37628721737184;0.9142091152815014;54.95;118.68000000000006;54.95;0;118.62614258298386;-2.346330275229358;46.941805;7.403287;91.33366871931378;1.214223791736254;-15424.325100516944;11.252777777777776;24.8;500;1000;500;0;0.546916890080429;0;500;0;0;0;0;76.8614101553125;0;100;500;0;0;0;0;0;0;500;88
654;1;0;94.3628740392508;0.9142091152815014;57.14;175.82000000000016;57.14;0;119.62300092401732;-1.173165137614679;46.94188;7.403993;149.17832557487918;1.983232193169215;-12339.460080413555;11.602777777777778;24.8;500;1500;500;0;0.546916890080429;0;500;0;0;0;0;77.81031645352624;0;100;300;100;100;0;0;0;0;500;86
654;0;0;92.37628721737184;0.9142091152815014;54.95;230.7700000000002;32.97;0;119.62300092401732;-1.173165137614679;46.941913;7.404697;213.1118936783988;2.8331888473845925;-11311.171740379092;11.355555555555556;24.9;500;2000;300;0;0.546916890080429;0;500;0;0;0;0;83.50375424280864;0;100;0;0;500;0;0;0;0;500;88
653;0;0;89.3964069845534;0.9142091152815014;54.95;285.7200000000005;0;0;125.6041509702182;0;46.94195;7.4054;274.00100615794133;3.6426713752087623;0;11.130555555555556;24.9;500;2500;0;0;0.546916890080429;0;500;0;0;0;0;92.992817224946;0;100;0;0;0;100;400;0;0;500;89
653;0;0;83.43664651891649;0.9142091152815014;52.75;338.4700000000005;0;0;126.60100931125169;0;46.941962;7.406067;251.67499824877575;3.3458611150065662;0;10.452777777777778;25;500;3000;0;0;0.546916890080429;0;500;0;0;0;0;102.48188020708334;0;100;0;0;100;400;0;0;0;500;95
653;0;0;85.42323334079546;0.9142091152815014;39.56;378.0300000000002;0;0;128.59472599331863;0;46.941927;7.40667;194.84515993453607;2.590344089037342;0;9.65;25;500;3500;0;0;0.546916890080429;0;500;0;0;0;0;110.07313059279322;0;100;0;300;200;0;0;0;0;500;103
654;0;1;73.50371240952167;0.9142091152815014;50.54;428.57000000000016;0;0;133.57901769848604;0;46.941882;7.40728;151.2079626575306;2.010214944096687;0;8.136111111111111;24.9;500;4000;0;0;0.546916890080429;0;0;500;0;0;0;117.66438097850308;0;100;200;300;0;0;0;0;0;500;122
655;0;2;80.45676628609804;0.9142091152815014;32.95;461.5200000000002;0;32.95;131.58530101641907;1.100384451089278;46.94187;7.407657;104.526309756548;1.389611672764824;7135.990790041733;6.602777777777778;24.9;500;4500;0;500;0.546916890080429;0;0;500;0;0;0;123.3578187677855;0;100;500;0;0;0;0;0;0;500;151
657;0;1;79.46347287515857;0.9142091152815014;28.55;490.07000000000016;0;28.55;131.58530101641907;2.200768902178556;46.941708;7.408015;140.0449587029478;1.8618098139955896;9174.845301482228;5.441666666666666;24.9;500;5000;0;500;0.546916890080429;0;300;200;0;0;0;127.15344396064044;0;100;300;200;0;0;0;0;0;500;183
658;0;1;70.52383217670322;0.9142091152815014;21.96;512.0300000000002;0;21.96;133.57901769848604;3.301153353267834;46.941613;7.40828;122.79304350041076;1.6324564311120748;8155.4180457619805;4.177777777777777;24.8;500;5500;0;500;0.546916890080429;0;0;500;0;0;0;129.05125655706792;0;100;500;0;0;0;0;0;0;500;239
658;0;1;0;0.9142091152815014;4.38;516.4100000000003;0;4.38;133.57901769848604;3.301153353267834;46.941595;7.40835;0;0;5097.136278601238;2.6916666666666664;24.8;500;6000;0;500;0.546916890080429;0;0;500;0;0;0;129.05125655706792;0;100;100;0;0;0;0;0;0;0;371
659;0;0;0;0.9142091152815014;0;516.4100000000003;0;0;133.57901769848604;0;46.941597;7.40835;0;0;0;0;24.8;10;6010;0;0;0.546916890080429;0;0;0;0;0;0;129.05125655706792;0;100;0;0;0;0;0;0;0;0;1200
659;0;0;98.33604768300872;0.9142091152815014;26.36;542.7700000000002;0;0;121.6167176060843;0;46.941545;7.40869;82.2003018473824;1.0928014125626286;0;6.538888888888889;24.7;590;6600;0;0;0.546916890080429;0;590;0;0;0;0;129.05125655706792;0;100;590;0;0;0;0;0;0;590;152
659;0;1;82.44335310797702;0.9142091152815014;41.74;584.5100000000002;0;0;130.5884426753856;0;46.941513;7.409098;80.17066476473099;1.0658186616351564;0;7.155555555555556;24.7;500;7100;0;0;0.546916890080429;0;500;0;0;0;0;129.05125655706792;0;100;500;0;0;0;0;0;0;500;139
660;0;0;0;0.9142091152815014;35.15;619.6600000000003;0;0;134.5758760395195;0;46.941482;7.409553;0;0;0;7.555555555555555;24.5;500;7600;0;0;0.546916890080429;0;0;500;0;0;0;129.05125655706792;0;100;400;0;0;0;0;0;0;300;132
