Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
556;2;0;85.41955466522845;0.9084065244667504;52.75;0;0;0;135.53780127812934;0;46.941842;7.401802;230.33757789217017;3.0417064677563586;0;11.030555555555557;26;500;0;0;0;0.676913425345044;0;0;500;0;0;0;106.39252557506948;0;100;0;0;0;500;0;0;0;500;90
554;2;0;83.43305339394406;0.9084065244667504;54.95;54.950000000000045;54.95;0;131.55139535818435;-1.7169373549883988;46.941727;7.402475;210.13252719987457;2.774890110935625;-16631.336993998215;11.252777777777776;26;500;500;400;0;0.676913425345044;0;0;500;0;0;0;112.59014842410264;0;100;0;0;0;290;210;0;0;500;88
554;0;0;84.42630402958625;0.9084065244667504;54.95;109.89999999999975;54.95;0;132.5479968381706;-1.7169373549883988;46.941705;7.403162;82.84070783841209;1.093947062965006;-17670.795556123103;11.130555555555556;25.9;510;1010;500;0;0.676913425345044;0;0;510;0;0;0;119.82070841464136;0;100;510;0;0;0;0;0;0;510;89
553;1;0;85.41955466522845;0.9084065244667504;43.96;153.86;43.96;0;129.55819239821187;-0.8584686774941994;46.941823;7.403862;132.34308203453637;1.7476471371758022;-12473.50274549866;11.241666666666664;25.9;500;1510;500;0;0.676913425345044;0;0;500;0;0;0;123.95245698066346;0;100;200;0;0;300;0;0;0;500;88
552;0;0;89.39255720779721;0.9084065244667504;68.13;221.99000000000012;68.13;0;129.55819239821187;-0.8584686774941994;46.941855;7.404567;204.07101199218587;2.6948452038894053;-11434.044183373771;11.733333333333334;25.9;500;2010;500;0;0.676913425345044;0;0;500;0;0;0;128.08420554668558;0;100;0;0;0;500;0;0;0;500;85
552;1;0;89.39255720779721;0.9084065244667504;57.14;279.1300000000002;57.14;0;134.54119979814308;-0.8584686774941994;46.941838;7.405305;228.31707282294064;3.015024832074285;-11434.044183373771;11.858333333333333;25.9;500;2510;500;0;0.676913425345044;0;0;500;0;0;0;132.2159541127077;0;100;0;0;0;500;0;0;0;500;84
552;0;0;84.42630402958625;0.9084065244667504;57.14;336.2700000000003;0;0;135.53780127812934;0;46.941787;7.406005;253.57338618831017;3.3485452781002016;0;10.955555555555554;25.8;500;3010;0;0;0.676913425345044;0;0;500;0;0;0;136.3477026787298;0;100;0;0;0;400;100;0;0;500;91
552;0;0;87.40605593651283;0.9084065244667504;61.54;397.8100000000003;0;0;135.53780127812934;0;46.941743;7.4068;240.440103238318;3.175114646166725;0;10.575;25.7;590;3600;0;0;0.676913425345044;0;0;590;0;0;0;139.4465141032464;0;100;0;0;0;590;0;0;0;590;94
552;0;1;84.42630402958625;0.9084065244667504;48.35;446.1600000000002;0;0;136.5344027581156;0;46.94169;7.407368;189.92747650757892;2.508073754114892;0;8.727777777777778;25.7;500;4100;0;0;0.676913425345044;0;0;500;0;0;0;145.64413695227958;0;100;0;0;0;500;0;0;0;500;114
555;0;2;80.45330148701748;0.9084065244667504;37.35;483.51000000000033;0;30.76;136.5344027581156;0.8828468612554978;46.941625;7.40782;114.15853641147032;1.5075124160371425;7807.983026123856;7.005555555555555;25.7;500;4600;0;300;0.676913425345044;0;0;500;0;0;0;149.7758855183017;0;100;100;110;0;290;0;0;0;500;142
557;0;2;92.37230911472378;0.9084065244667504;28.55;512.0600000000001;0;28.55;143.5106131180193;2.6485405837664935;46.94157;7.40817;149.51737512298766;1.9744410404734256;11711.974539185783;4.841666666666667;25.7;510;5110;0;300;0.676913425345044;0;0;510;0;0;0;152.87469694281828;0;100;0;0;0;510;0;0;0;510;206
558;0;1;0;0.9084065244667504;15.35;527.4099999999997;0;15.35;137.53100423810184;3.5313874450219913;46.941592;7.408338;0;0;6831.985147858374;1.6305555555555555;25.7;590;5700;0;400;0.676913425345044;0;0;590;0;0;0;153.9076340843238;0;100;0;0;0;0;0;0;0;0;613
558;0;0;0;0.9084065244667504;4.39;531.8000000000001;0;4.39;135.53780127812934;4.414234306277489;46.941618;7.408328;0;0;6831.985147858374;0;25.5;500;6200;0;400;0.676913425345044;0;0;410;0;0;0;152.87469694281828;0;100;0;0;0;0;0;0;0;0;1200
558;0;0;97.33856229293474;0.9084065244667504;28.55;560.35;0;0;123.5785835182944;0;46.941578;7.40867;103.04575853070772;1.3607634197857392;0;6.155555555555555;25.5;500;6700;0;0;0.676913425345044;0;500;0;0;0;0;152.87469694281828;0;100;210;0;0;290;0;0;0;500;162
558;0;0;87.40605593651283;0.9084065244667504;35.15;595.5000000000003;0;0;129.55819239821187;0;46.941602;7.40914;90.92272811533032;1.2006736056932994;0;7.727777777777778;25.5;500;7200;0;0;0.676913425345044;0;200;300;0;0;0;152.87469694281828;0;100;500;0;0;0;0;0;0;500;129
558;0;1;89.39255720779721;0.9084065244667504;39.55;635.0500000000001;0;0;135.53780127812934;0;46.941448;7.409613;111.12777880762596;1.4674899625140323;0;8.247222222222222;25.5;500;7700;0;0;0.676913425345044;0;0;500;0;0;0;152.87469694281828;0;100;0;0;0;500;0;0;0;500;121
558;0;0;91.3790584790816;0.9084065244667504;41.75;676.8000000000001;0;0;134.54119979814308;0;46.941108;7.40954;80.82020276918252;1.0672654272829327;0;8.955555555555556;25.3;500;8200;0;0;0.676913425345044;0;0;500;0;0;0;152.87469694281828;0;100;100;0;0;300;0;0;0;400;111
558;1;0;95.35206102165036;0.9084065244667504;46.15;722.9500000000002;0;0;136.5344027581156;0;46.94079;7.409188;162.6506580729798;2.1478716724069025;0;9.355555555555556;25.3;500;8700;0;0;0.676913425345044;0;0;500;0;0;0;152.87469694281828;0;100;0;0;0;500;0;0;0;500;106
558;0;0;92.37230911472378;0.9084065244667504;41.75;764.7000000000002;0;0;139.52420719807432;0;46.94043;7.40906;132.34308203453637;1.7476471371758022;0;8.080555555555556;25.3;510;9210;0;0;0.676913425345044;0;0;510;0;0;0;152.87469694281828;0;100;0;110;0;400;0;0;0;510;123
559;0;1;86.41280530087063;0.9084065244667504;39.55;804.2500000000003;0;8.79;144.50721459800556;0.8828468612554978;46.940117;7.409163;91.93298064994512;1.2140144235343362;6831.985147858374;7.627777777777778;25.3;500;9710;0;100;0.676913425345044;0;0;400;100;0;0;151.84175980131275;0;100;500;0;0;0;0;0;0;500;131
561;0;2;93.36555975036596;0.9084065244667504;35.15;839.4000000000002;0;35.15;145.5038160779918;1.7656937225109957;46.939867;7.40939;171.74293088451284;2.267939032976232;9759.97878265482;7.488888888888889;25.3;500;10210;0;400;0.676913425345044;0;0;400;100;0;0;151.84175980131275;0;100;0;0;0;500;0;0;0;500;133
562;0;1;89.39255720779721;0.9084065244667504;39.55;878.9500000000002;0;39.55;150.48682347792302;1.7656937225109957;46.939618;7.409617;209.12227466525977;2.7615492930945886;10735.976660920302;7.922222222222222;25.3;500;10710;0;400;0.676913425345044;0;0;0;500;0;0;150.80882265980722;0;100;0;0;0;500;0;0;0;500;126
562;0;0;85.41955466522845;0.9084065244667504;39.55;918.5000000000003;0;39.55;148.49362051795052;2.6485405837664935;46.939377;7.409913;263.67591153445795;3.4819534565105683;14639.96817398223;8.01388888888889;25.2;500;11210;0;400;0.676913425345044;0;0;0;500;0;0;151.84175980131275;0;100;0;0;0;200;300;0;0;500;124
563;0;1;85.41955466522845;0.9084065244667504;35.15;953.6500000000002;0;35.15;150.48682347792302;1.7656937225109957;46.939227;7.410232;232.35808296139973;3.0683881034384313;10735.976660920302;7.522222222222221;25.2;500;11710;0;300;0.676913425345044;0;0;0;500;0;0;152.87469694281828;0;100;0;0;0;400;100;0;0;500;132
563;0;0;90.3858078434394;0.9084065244667504;39.55;993.2000000000002;0;39.55;149.49022199793677;1.7656937225109957;46.939017;7.410665;217.204294942178;2.8682758358228817;8783.980904389338;7.936111111111111;25.1;500;12210;0;300;0.676913425345044;0;0;0;500;0;0;154.94057122582933;0;100;0;0;0;500;0;0;0;500;126
563;0;0;85.41955466522845;0.9084065244667504;48.34;1041.5400000000004;0;6.59;148.49362051795052;0.8828468612554978;46.938803;7.41114;167.70192074605373;2.214575761612086;6831.985147858374;8.258333333333333;25;500;12710;0;100;0.676913425345044;0;0;0;500;0;0;157.0064455088404;0;100;0;0;0;500;0;0;0;500;121
563;0;0;88.39930657215501;0.9084065244667504;50.54;1092.0800000000004;0;0;147.4970190379643;0;46.938558;7.411673;121.23030415377376;1.6008981409243992;0;8.563888888888888;25;590;13300;0;0;0.676913425345044;0;0;0;590;0;0;159.07231979185144;0;100;0;0;0;590;0;0;0;590;116
563;0;0;88.39930657215501;0.9084065244667504;41.75;1133.8300000000004;0;0;147.4970190379643;0;46.93834;7.412127;126.28156682684768;1.6676022301295823;0;8.602777777777778;24.9;500;13800;0;0;0.676913425345044;0;0;0;500;0;0;161.1381940748625;0;100;0;0;0;500;0;0;0;500;116
563;0;0;86.41280530087063;0.9084065244667504;43.95;1177.7800000000002;0;0;149.49022199793677;0;46.938123;7.412595;149.51737512298766;1.9744410404734256;0;9.40277777777778;24.8;500;14300;0;0;0.676913425345044;0;0;0;500;0;0;161.1381940748625;0;100;0;0;0;500;0;0;0;500;106
