Altitude [m];AltitudeDifferencesDownhill [m];AltitudeDifferencesUphill [m];Cadence [rpm];Calories [kcal];Distance [m];DistanceAbsolute [m];DistanceDownhill [m];DistanceUphill [m];Heartrate [bpm];Incline [%];Latitude;Longitude;Power [watts];Power to Weight Ratio [watts/kg];RiseRate [m/min];Speed [m/s];Temperature [°C];TrainingTime [s];TrainingTimeAbsolute [s];TrainingTimeDownhill [s];TrainingTimeUphill [s];Work [kJ];TimeBelowIntensityZones [s];TimeInIntensityZone1 [s];TimeInIntensityZone2 [s];TimeInIntensityZone3 [s];TimeInIntensityZone4 [s];TimeAboveIntensityZones [s];NormalizedPower [watts];RightBalance;LeftBalance;TimeInPowerZone1 [s];TimeInPowerZone2 [s];TimeInPowerZone3 [s];TimeInPowerZone4 [s];TimeInPowerZone5 [s];TimeInPowerZone6 [s];TimeInPowerZone7 [s];PedalingTime [s];SpeedTime [min/km]
544;2;0;90.3400664318688;0.8880192655027093;52.75;0;43.96;0;122.11560648206778;-2.409140369967356;46.941783;7.402175;195.02421721489267;2.5544045055321667;-14078.1209447184;11.097222222222223;25.6;500;0;400;0;0.6080674292594822;0;500;0;0;0;0;89.44668594950289;0;100;0;0;0;500;0;0;0;500;90
544;1;0;88.35457046633321;0.8880192655027093;52.75;52.75;52.75;0;121.11465888795249;-2.409140369967356;46.941753;7.402873;90.94393548881006;1.1911730854813214;-17094.86114715806;10.85;25.5;500;500;500;0;0.6080674292594822;0;500;0;0;0;0;91.39117912231818;0;100;400;100;0;0;0;0;0;500;92
543;0;0;86.36907450079764;0.8880192655027093;63.74;116.49000000000001;63.74;0;119.11276369972184;-2.409140369967356;46.941797;7.403537;67.7027075305586;0.886762185858317;-14078.1209447184;10.738888888888887;25.5;500;1000;500;0;0.6080674292594822;0;500;0;0;0;0;92.3634257087258;0;100;400;100;0;0;0;0;0;500;93
543;1;0;85.37632651802986;0.8880192655027093;52.75;169.24;10.99;0;118.11181610560654;-1.204570184983678;46.941862;7.40418;175.82494194503278;2.3029346319305546;-9050.220607318972;10.477777777777778;25.5;500;1500;100;0;0.6080674292594822;0;500;0;0;0;0;95.28016546794872;0;100;0;0;0;500;0;0;0;500;95
542;0;0;87.36182248356543;0.8880192655027093;52.74;221.98000000000002;0;0;120.11371129383716;0;46.941887;7.404848;236.45423227090615;3.0970500222514357;0;10.841666666666669;25.5;500;2000;0;0;0.6080674292594822;0;500;0;0;0;0;99.16915181357928;0;100;0;0;0;500;0;0;0;500;92
542;1;0;87.36182248356543;0.8880192655027093;52.75;274.73;0;0;121.11465888795249;0;46.94191;7.405515;247.56960216398295;3.242637843810264;0;10.716666666666669;25.5;500;2500;0;0;0.6080674292594822;0;500;0;0;0;0;104.0303847456175;0;100;0;0;0;500;0;0;0;500;93
542;0;0;81.4053345869587;0.8880192655027093;50.55;325.28;0;0;122.11560648206778;0;46.941903;7.406162;224.32837420573148;2.9382269441872593;0;10.022222222222222;25.6;500;3000;0;0;0.6080674292594822;0;500;0;0;0;0;109.86386426406334;0;100;0;0;0;500;0;0;0;500;99
542;0;0;87.36182248356543;0.8880192655027093;48.35;373.6300000000001;0;0;123.11655407618308;0;46.941888;7.40678;184.9193354939138;2.4220519404786867;0;9.41388888888889;25.4;510;3510;0;0;0.6080674292594822;0;510;0;0;0;0;115.69734378250918;0;100;0;0;0;510;0;0;0;510;106
543;0;1;82.39808256972648;0.8880192655027093;48.34;421.9699999999998;0;8.79;127.12034445264432;1.1329042029534266;46.941915;7.40738;99.02784086559318;1.2970551375241055;6054.229057061919;7.108333333333333;25.4;590;4100;0;100;0.6080674292594822;0;590;0;0;0;0;122.50306988736266;0;100;300;0;0;290;0;0;0;590;140
544;0;2;86.36907450079764;0.8880192655027093;30.75;452.7199999999998;0;30.75;127.12034445264432;1.1329042029534266;46.94189;7.407763;105.09076989818053;1.3764666765561937;7063.267233238905;6.352777777777778;25.4;500;4600;0;500;0.6080674292594822;0;500;0;0;0;0;126.39205623299324;0;100;300;0;0;200;0;0;0;500;157
546;0;1;77.43434265588753;0.8880192655027093;28.55;481.2699999999995;0;28.55;130.12318723499024;2.2658084059068533;46.941865;7.408122;142.47883226580242;1.8661711672540704;9081.343585592878;5.747222222222223;25.4;500;5100;0;500;0.6080674292594822;0;0;500;0;0;0;128.3365494058085;0;100;0;0;0;500;0;0;0;500;173
547;0;1;0;0.8880192655027093;17.56;498.8299999999997;0;17.56;132.12508242322087;3.39871260886028;46.941767;7.408313;0;0;7063.267233238905;3.013888888888889;25.4;500;5600;0;500;0.6080674292594822;0;0;500;0;0;0;129.30879599221615;0;100;100;0;0;300;0;0;0;400;331
547;0;0;0;0.8880192655027093;0;498.8299999999997;0;0;133.12603001733618;3.39871260886028;46.941737;7.408313;0;0;6054.229057061919;0;25.4;190;5790;0;100;0.6080674292594822;0;0;100;0;0;0;129.30879599221615;0;100;0;0;0;0;0;0;0;0;1200
548;0;1;93.31831038017216;0.8880192655027093;26.36;525.1899999999996;0;0;118.11181610560654;0;46.941645;7.40871;88.92295914461428;1.1647025724706257;0;6.172222222222222;25.3;510;6300;0;0;0.6080674292594822;0;510;0;0;0;0;129.30879599221615;0;100;310;200;0;0;0;0;0;510;162
548;0;0;86.36907450079764;0.8880192655027093;39.55;564.7399999999996;0;0;125.11844926441373;0;46.94163;7.409133;71.74466021895016;0.9397032118797092;0;7.038888888888889;25.3;500;6800;0;0;0.6080674292594822;0;500;0;0;0;0;129.30879599221615;0;100;500;0;0;0;0;0;0;500;142
548;0;0;85.37632651802986;0.8880192655027093;37.35;602.0899999999995;0;0;126.11939685852902;0;46.941507;7.409578;87.91247097251639;1.1514673159652773;0;7.647222222222222;25.3;500;7300;0;0;0.6080674292594822;0;500;0;0;0;0;129.30879599221615;0;100;500;0;0;0;0;0;0;500;130
548;0;0;86.36907450079764;0.8880192655027093;39.55;641.6399999999994;0;0;123.11655407618308;0;46.94117;7.409593;65.68173118636282;0.8602916728476211;0;8.372222222222222;25.1;500;7800;0;0;0.6080674292594822;0;500;0;0;0;0;129.30879599221615;0;100;200;100;0;100;0;0;0;400;119
